;moviename;data;file
63688;The Thomas Crown Affair;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1951873066', 'SubFileName': 'The.Thomas.Crown.Affair.1968.DVDRip.XviD.Subs.EN-ellroy.srt', 'SubActualCD': '1', 'SubSize': '55227', 'SubHash': '4310707446bcdab1add7ddcc7271f415', 'SubLastTS': '01:40:39', 'SubTSGroup': '4', 'InfoReleaseGroup': '', 'InfoFormat': 'DVD', 'InfoOther': '', 'IDSubtitle': '3287159', 'UserID': '67084', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2008-05-21 23:47:31', 'SubBad': '0', 'SubRating': '0.0', 'SubSumVotes': '0', 'SubDownloadsCnt': '10243', 'MovieReleaseName': 'The.Thomas.Crown.Affair.1968.DVDRip.XviD.Commentary-ellroy', 'MovieFPS': '23.976', 'IDMovie': '14977', 'IDMovieImdb': '63688', 'MovieName': 'The Thomas Crown Affair', 'MovieNameEng': '', 'MovieYear': '1968', 'MovieImdbRating': '6.9', 'SubFeatured': '0', 'UserNickName': 'eselworx', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'ASCII', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'bccc49bcb16135bb1446c5cfb60b5703', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19be0c57/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1951873066.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5440bbc/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3287159', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3287159/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/the-thomas-crown-affair-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0063688', 'sublanguageid': 'eng'}, 'Score': 33.10243};{'1951873066': '/home/eva/Diploma/os/63688.srt'}
32553;The Great Dictator;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1952969630', 'SubFileName': 'The.Great.Dictator.1940.1080p.BluRay.x264-THUGLiNE.ENG.srt', 'SubActualCD': '1', 'SubSize': '122215', 'SubHash': 'd06689e8bc0b6e86410ce4d74c99eadd', 'SubLastTS': '02:04:26', 'SubTSGroup': '33', 'InfoReleaseGroup': 'THUGLiNE', 'InfoFormat': 'BluRay', 'InfoOther': '', 'IDSubtitle': '4413278', 'UserID': '103920', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2011-11-16 22:05:52', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '1', 'SubDownloadsCnt': '47257', 'MovieReleaseName': '1080p.BluRay.x264-THUGLiNE - (MK2, NOT Criterion)', 'MovieFPS': '23.976', 'IDMovie': '1106', 'IDMovieImdb': '32553', 'MovieName': 'The Great Dictator', 'MovieNameEng': 'The Dictator', 'MovieYear': '1940', 'MovieImdbRating': '8.4', 'SubFeatured': '0', 'UserNickName': 'ShooCat', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'CP1252', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': '791b568487d82e47d0cf8c9962f0a8fe', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19e40c5b/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1952969630.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f52a0bb6/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/4413278', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/4413278/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/the-great-dictator-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0032553', 'sublanguageid': 'eng'}, 'Score': 35.47257};{'1952969630': '/home/eva/Diploma/os/32553.srt'}
50188;Mother India;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1951950902', 'SubFileName': 'Mother India.srt', 'SubActualCD': '1', 'SubSize': '88284', 'SubHash': 'e401802d951d8b6f26de37221742a5f7', 'SubLastTS': '02:52:07', 'SubTSGroup': '1', 'InfoReleaseGroup': '', 'InfoFormat': '', 'InfoOther': '', 'IDSubtitle': '3352271', 'UserID': '585985', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2008-10-17 18:59:24', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '1', 'SubDownloadsCnt': '10087', 'MovieReleaseName': '', 'MovieFPS': '23.976', 'IDMovie': '6527', 'IDMovieImdb': '50188', 'MovieName': 'Mother India', 'MovieNameEng': '', 'MovieYear': '1957', 'MovieImdbRating': '7.8', 'SubFeatured': '0', 'UserNickName': 'drtucker', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'gold member', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'ASCII', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '0', 'QueryCached': 1, 'SubTSGroupHash': '5615f41f263fedcf94fce56df010e606', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19b90c52/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1951950902.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5260bb0/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3352271', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3352271/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/mother-india-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0050188', 'sublanguageid': 'eng'}, 'Score': 23.10087};{'1951950902': '/home/eva/Diploma/os/50188.srt'}
92666;Blind Date;"{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1953182022', 'SubFileName': 'BLIND DATE - 1987 - English.srt', 'SubActualCD': '1', 'SubSize': '73556', 'SubHash': '6eeb0438f08a74767a7b72fe508db261', 'SubLastTS': '01:30:35', 'SubTSGroup': '2', 'InfoReleaseGroup': '', 'InfoFormat': '', 'InfoOther': '', 'IDSubtitle': '4634684', 'UserID': '1434056', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2012-08-07 16:58:38', 'SubBad': '0', 'SubRating': '0.0', 'SubSumVotes': '0', 'SubDownloadsCnt': '4793', 'MovieReleaseName': 'BLIND DATE (1987)', 'MovieFPS': '29.970', 'IDMovie': '5606', 'IDMovieImdb': '92666', 'MovieName': 'Blind Date', 'MovieNameEng': ""Blake Edwards' Blind Date"", 'MovieYear': '1987', 'MovieImdbRating': '6.0', 'SubFeatured': '0', 'UserNickName': 'CharlesChaplinJr', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'CP1252', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': '95619c14afadac3845ca4f5e0f5857da', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19970c4a/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1953182022.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f54e0bbc/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/4634684', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/4634684/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/blind-date-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0092666', 'sublanguageid': 'eng'}, 'Score': 33.04793}";{'1953182022': '/home/eva/Diploma/os/92666.srt'}
112817;Dead Man;"{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1954302388', 'SubFileName': 'Dead.Man.1995.720p.BluRay.x264-SiNNERS.eng.srt', 'SubActualCD': '1', 'SubSize': '55460', 'SubHash': 'db1154d6551acd4f7e2976d7b6ba7711', 'SubLastTS': '01:54:53', 'SubTSGroup': '2', 'InfoReleaseGroup': 'SiNNERS', 'InfoFormat': 'BluRay', 'InfoOther': '', 'IDSubtitle': '5724412', 'UserID': '1189705', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2014-06-15 20:37:34', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '2', 'SubDownloadsCnt': '14610', 'MovieReleaseName': 'Dead.Man.1995.720p.BluRay.x264-SiNNERS.eng.srt', 'MovieFPS': '23.976', 'IDMovie': '1342', 'IDMovieImdb': '112817', 'MovieName': 'Dead Man', 'MovieNameEng': ""Jim Jarmusch's Dead Man"", 'MovieYear': '1995', 'MovieImdbRating': '7.5', 'SubFeatured': '0', 'UserNickName': 'arcchancellor', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'administrator', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'UTF-8', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': '60d18147d5185022dc0e9c38cdd20a0f', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-199d0c54/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1954302388.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5400bb2/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/5724412', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/5724412/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/dead-man-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0112817', 'sublanguageid': 'eng'}, 'Score': 35.1461}";{'1954302388': '/home/eva/Diploma/os/112817.srt'}
120685;Godzilla;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1951735122', 'SubFileName': 'Godzilla.srt', 'SubActualCD': '1', 'SubSize': '83013', 'SubHash': 'c53886eb689167934910f2e97ac9a3d0', 'SubLastTS': '02:03:43', 'SubTSGroup': '1', 'InfoReleaseGroup': '', 'InfoFormat': '', 'InfoOther': '', 'IDSubtitle': '3178657', 'UserID': '458171', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2008-01-19 12:30:47', 'SubBad': '0', 'SubRating': '0.0', 'SubSumVotes': '0', 'SubDownloadsCnt': '37776', 'MovieReleaseName': 'The RoCK-Godzilla.avi', 'MovieFPS': '25.000', 'IDMovie': '101', 'IDMovieImdb': '120685', 'MovieName': 'Godzilla', 'MovieNameEng': '', 'MovieYear': '1998', 'MovieImdbRating': '5.4', 'SubFeatured': '0', 'UserNickName': 'vtn54', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'CP1252', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'cf8fb7e1a28bcc928a6d938455de51ff', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19a30c4d/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1951735122.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f54a0bbe/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3178657', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3178657/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/godzilla-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0120685', 'sublanguageid': 'eng'}, 'Score': 33.37776};{'1951735122': '/home/eva/Diploma/os/120685.srt'}
38769;Murderers Among Us;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1955588379', 'SubFileName': 'Die Mörder sind unter uns (1946) - Copy.srt', 'SubActualCD': '1', 'SubSize': '54281', 'SubHash': '7590f1819e05907eae4cb4e1548347fb', 'SubLastTS': '01:19:55', 'SubTSGroup': '1', 'InfoReleaseGroup': '', 'InfoFormat': '', 'InfoOther': '', 'IDSubtitle': '7008039', 'UserID': '862370', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2017-06-10 14:28:59', 'SubBad': '0', 'SubRating': '0.0', 'SubSumVotes': '0', 'SubDownloadsCnt': '371', 'MovieReleaseName': 'synced to the DVD version', 'MovieFPS': '25.000', 'IDMovie': '8302', 'IDMovieImdb': '38769', 'MovieName': 'Murderers Among Us', 'MovieNameEng': 'Murderers Among Us', 'MovieYear': '1946', 'MovieImdbRating': '7.4', 'SubFeatured': '0', 'UserNickName': 'Armoreska', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'gold member', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'CP1252', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '0', 'SubTSGroupHash': '429c5aa4290f65a1dcb4620a124ed5d3', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19ef0c65/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1955588379.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5290bb4/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/7008039', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/7008039/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/murderers-among-us-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0038769', 'sublanguageid': 'eng'}, 'Score': 21.00371};{'1955588379': '/home/eva/Diploma/os/38769.srt'}
59578;For a Few Dollars More;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1955757185', 'SubFileName': 'For.A.Few.Dollars.More.1965.720p.x264.english.srt', 'SubActualCD': '1', 'SubSize': '55344', 'SubHash': '3e2a9e3c4be8f9b5bc775e7ca63a13ee', 'SubLastTS': '02:10:10', 'SubTSGroup': '94', 'InfoReleaseGroup': '', 'InfoFormat': '', 'InfoOther': '', 'IDSubtitle': '7175646', 'UserID': '1189705', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2017-11-30 11:12:39', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '1', 'SubDownloadsCnt': '22896', 'MovieReleaseName': 'For.A.Few.Dollars.More.1965.720p.x264.english.srt', 'MovieFPS': '23.976', 'IDMovie': '4668', 'IDMovieImdb': '59578', 'MovieName': 'For a Few Dollars More', 'MovieNameEng': 'For a Few Dollars More', 'MovieYear': '1965', 'MovieImdbRating': '8.2', 'SubFeatured': '0', 'UserNickName': 'arcchancellor', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '1', 'SubHearingImpaired': '0', 'UserRank': 'administrator', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'UTF-8', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'a6eb96ddb653882c2bd5f9fd3a7ab049', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19e00c5e/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1955757185.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5570bbd/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/7175646', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/7175646/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/for-a-few-dollars-more-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0059578', 'sublanguageid': 'eng'}, 'Score': 35.22896};{'1955757185': '/home/eva/Diploma/os/59578.srt'}
93409;Lethal Weapon;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1951735101', 'SubFileName': 'ARG-LETHAL_WEAPON___1987__PALDVDRIP__XVID_MP3_ENG__A_RG_.torrent.srt', 'SubActualCD': '1', 'SubSize': '88185', 'SubHash': '85377bd43370a97aefff823b7b896c9a', 'SubLastTS': '01:49:27', 'SubTSGroup': '1', 'InfoReleaseGroup': 'A_RG', 'InfoFormat': '', 'InfoOther': '', 'IDSubtitle': '3178641', 'UserID': '458171', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2008-01-19 10:53:34', 'SubBad': '0', 'SubRating': '1.0', 'SubSumVotes': '1', 'SubDownloadsCnt': '10709', 'MovieReleaseName': 'ARG-LETHAL_WEAPON___1987__PALDVDRIP__XVID_MP3_ENG__A_RG_.torrent', 'MovieFPS': '0.000', 'IDMovie': '2086', 'IDMovieImdb': '93409', 'MovieName': 'Lethal Weapon', 'MovieNameEng': '', 'MovieYear': '1987', 'MovieImdbRating': '7.6', 'SubFeatured': '0', 'UserNickName': 'vtn54', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '0', 'SeriesIMDBParent': '0', 'SubEncoding': 'ASCII', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'da5f6df1bf68b51f6d9bd7214081eee3', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-199e0c4a/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1951735101.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5420bb7/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3178641', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3178641/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/lethal-weapon-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0093409', 'sublanguageid': 'eng'}, 'Score': 33.30709};{'1951735101': '/home/eva/Diploma/os/93409.srt'}
56172;Lawrence of Arabia;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1952189291', 'SubFileName': 'Lawrence of Arabia.eng.srt', 'SubActualCD': '1', 'SubSize': '133798', 'SubHash': 'e6d9155a4f7c1bc4821769112063eb90', 'SubLastTS': '03:25:17', 'SubTSGroup': '1', 'InfoReleaseGroup': '', 'InfoFormat': '', 'InfoOther': '', 'IDSubtitle': '3561910', 'UserID': '458076', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2009-09-15 17:03:36', 'SubBad': '0', 'SubRating': '0.0', 'SubSumVotes': '0', 'SubDownloadsCnt': '15007', 'MovieReleaseName': 'Lawrence.of.Arabia.1962.HDTV.720p.x264.AC3-5.1-iLL', 'MovieFPS': '25.000', 'IDMovie': '2065', 'IDMovieImdb': '56172', 'MovieName': 'Lawrence of Arabia', 'MovieNameEng': '', 'MovieYear': '1962', 'MovieImdbRating': '8.3', 'SubFeatured': '0', 'UserNickName': 'hoodric', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'GB18030', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': '855b295cf5c2ebaed34a73fbde93ff4a', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19bf0c58/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1952189291.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f53b0bb2/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3561910', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3561910/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/lawrence-of-arabia-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0056172', 'sublanguageid': 'eng'}, 'Score': 33.15007};{'1952189291': '/home/eva/Diploma/os/56172.srt'}
438097;Ice Age: The Meltdown;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1952209962', 'SubFileName': 'Ice.Age.2.The.Meltdown.1080p.BluRay.DTS.x264-ESiR.ENG.srt', 'SubActualCD': '1', 'SubSize': '54269', 'SubHash': 'c98030b29eede6eb69f630037d8fbfeb', 'SubLastTS': '01:23:23', 'SubTSGroup': '10', 'InfoReleaseGroup': 'ESiR', 'InfoFormat': 'BluRay', 'InfoOther': '', 'IDSubtitle': '3579891', 'UserID': '103920', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2009-10-22 12:02:55', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '2', 'SubDownloadsCnt': '81159', 'MovieReleaseName': '1080p.BluRay.DTS.x264-ESiR', 'MovieFPS': '23.976', 'IDMovie': '18708', 'IDMovieImdb': '438097', 'MovieName': 'Ice Age: The Meltdown', 'MovieNameEng': '(working title)', 'MovieYear': '2006', 'MovieImdbRating': '6.8', 'SubFeatured': '0', 'UserNickName': 'ShooCat', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'trusted', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'ASCII', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '1', 'QueryCached': 1, 'SubTSGroupHash': 'e0ec611103d29ce3253d416ab55647e9', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19ad0c56/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1952209962.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f56e0bc3/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/3579891', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/3579891/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/ice-age-the-meltdown-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0438097', 'sublanguageid': 'eng'}, 'Score': 35.81159};{'1952209962': '/home/eva/Diploma/os/438097.srt'}
17925;The General;{'MatchedBy': 'imdbid', 'IDSubMovieFile': '0', 'MovieHash': '0', 'MovieByteSize': '0', 'MovieTimeMS': '0', 'IDSubtitleFile': '1954177749', 'SubFileName': 'The.General.1926.BluRay.720p.H264.srt', 'SubActualCD': '1', 'SubSize': '5440', 'SubHash': '38688d30f5fdef3a51a9012d9587f21d', 'SubLastTS': '01:17:39', 'SubTSGroup': '1', 'InfoReleaseGroup': '', 'InfoFormat': 'BluRay', 'InfoOther': '', 'IDSubtitle': '5591948', 'UserID': '1436527', 'SubLanguageID': 'eng', 'SubFormat': 'srt', 'SubSumCD': '1', 'SubAuthorComment': '', 'SubAddDate': '2014-03-20 07:11:28', 'SubBad': '0', 'SubRating': '10.0', 'SubSumVotes': '1', 'SubDownloadsCnt': '11538', 'MovieReleaseName': 'The.General.1926.BluRay.720p.H264', 'MovieFPS': '23.976', 'IDMovie': '6634', 'IDMovieImdb': '17925', 'MovieName': 'The General', 'MovieNameEng': '', 'MovieYear': '1926', 'MovieImdbRating': '8.1', 'SubFeatured': '0', 'UserNickName': 'aliyan', 'SubTranslator': '', 'ISO639': 'en', 'LanguageName': 'English', 'SubComments': '0', 'SubHearingImpaired': '0', 'UserRank': 'gold member', 'SeriesSeason': '0', 'SeriesEpisode': '0', 'MovieKind': 'movie', 'SubHD': '1', 'SeriesIMDBParent': '0', 'SubEncoding': 'ASCII', 'SubAutoTranslation': '0', 'SubForeignPartsOnly': '0', 'SubFromTrusted': '0', 'QueryCached': 1, 'SubTSGroupHash': 'd259f1d3778ad6a2dd9d42bd875dc3ad', 'SubDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-19cd0c5f/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/filead/1954177749.gz', 'ZipDownloadLink': 'http://dl.opensubtitles.org/en/download/src-api/vrf-f5660bc2/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/subad/5591948', 'SubtitlesLink': 'http://www.opensubtitles.org/en/subtitles/5591948/sid-A34BcLvy9ZJBkIScHrvxVpslA,a/the-general-en', 'QueryNumber': '0', 'QueryParameters': {'imdbid': '0017925', 'sublanguageid': 'eng'}, 'Score': 23.11538};{'1954177749': '/home/eva/Diploma/os/17925.srt'}
